Game, Start, End, Period, Team, Event, Phase, Offense System, Defense System, Assist, Offense Player Number, Offense Player Name, Offense Player Position, Defense Player Number, Defense Player Name, Defense Player Position, Shooter Position, Shot Location, Home Team, Visitor Team, Possession, Important, Game System
BERABERA vs GRANOLLERS, 00:32:19, 00:32:27, T2, BERABERA, GOAL, FAST_BREAK, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, 1, 01-N. WIGGINS, gk, LEFT_6M, 9, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 32,false
BERABERA vs GRANOLLERS, 00:32:27, 00:32:52, T2, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 9, 09-L.KOFLER, lp, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 33,false
BERABERA vs GRANOLLERS, 00:32:52, 00:33:00, T2, BERABERA, LOST_BALL, FAST_BREAK, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 33,false
BERABERA vs GRANOLLERS, 00:33:00, 00:33:26, T2, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 98, 98-M. CAPDEVILA, cb, 1, 01-A.DIVA, gk, LEFT_6M, 1, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 34,false
BERABERA vs GRANOLLERS, 00:33:26, 00:33:38, T2, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 18, 18-E.KARSTEN, rb, 22, 22-P.MILAGROS, lb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 34,false
BERABERA vs GRANOLLERS, 00:33:38, 00:34:02, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 15, 15-M. ECHEVERRIA, rw, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 34,false
BERABERA vs GRANOLLERS, 00:34:02, 00:34:30, T2, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 04-A.TOT, 09-L.KOFLER, 98-M. CAPDEVILA, 35,false
BERABERA vs GRANOLLERS, 00:34:30, 00:35:00, T2, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 9, 09-L.KOFLER, lp, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 09-L.KOFLER, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 35,false
BERABERA vs GRANOLLERS, 00:35:00, 00:35:17, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 09-L.KOFLER, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 35,false
BERABERA vs GRANOLLERS, 00:35:17, 00:35:26, T2, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, CENTER_6M, 1, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 09-L.KOFLER, 98-M. CAPDEVILA, 28-J.CASTAÑERA, 36,false
BERABERA vs GRANOLLERS, 00:35:26, 00:35:59, T2, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 13, 13-L.HERNANDEZ, lb, 1, 01-N. WIGGINS, gk, LEFT_WING, 7, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 01-N. WIGGINS, 22-P.MILAGROS, 09-L.KOFLER, 04-A.TOT, 28-J.CASTAÑERA, 36,false
BERABERA vs GRANOLLERS, 00:35:59, 00:36:30, T2, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, 3, 03-E. ARROJERIA, cb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 22-P.MILAGROS, 09-L.KOFLER, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 37,false
BERABERA vs GRANOLLERS, 00:36:30, 00:36:38, T2, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 98, 98-M. CAPDEVILA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 22-P.MILAGROS, 09-L.KOFLER, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 37,false
BERABERA vs GRANOLLERS, 00:36:38, 00:36:51, T2, BERABERA, 2MIN_PROVOKE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 9, 09-L.KOFLER, lp, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 22-P.MILAGROS, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 37,false
BERABERA vs GRANOLLERS, 00:36:51, 00:36:51, T2, GRANOLLERS, 2_MIN, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 22-P.MILAGROS, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 37,false
BERABERA vs GRANOLLERS, 00:36:51, 00:37:05, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 6:0, , 3, 03-E. ARROJERIA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 22-P.MILAGROS, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 37,false
BERABERA vs GRANOLLERS, 00:37:05, 00:37:34, T2, GRANOLLERS, LOST_BALL, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 5:1, , 98, 98-M. CAPDEVILA, cb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 17-E.SOMAZA, 38,false
BERABERA vs GRANOLLERS, 00:37:34, 00:37:51, T2, BERABERA, GOAL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 6:0, , 15, 15-M. ECHEVERRIA, rw, 16, 16-M. MERA, gk, LEFT_6M, 1, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 04-A.TOT, 16-M. MERA, 98-M. CAPDEVILA, 17-E.SOMAZA, 38,false
BERABERA vs GRANOLLERS, 00:37:51, 00:38:20, T2, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 5:1, , 28, 28-J.CASTAÑERA, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 3, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 17-E.SOMAZA, 28-J.CASTAÑERA, 39,false
BERABERA vs GRANOLLERS, 00:38:20, 00:38:27, T2, BERABERA, GOAL, COUNTER_GOAL, SUPERIORITY-6vs5, 6:0, , 13, 13-L.HERNANDEZ, lb, 16, 16-M. MERA, gk, LEFT_6M, 3, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 17-E.SOMAZA, 28-J.CASTAÑERA, 39,false
BERABERA vs GRANOLLERS, 00:38:27, 00:39:04, T2, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 28, 28-J.CASTAÑERA, lb, 13, 13-L.HERNANDEZ, lb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 40,false
BERABERA vs GRANOLLERS, 00:39:04, 00:39:13, T2, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 17, 17-E.SOMAZA, lb, 3, 03-E. ARROJERIA, cb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 40,false
BERABERA vs GRANOLLERS, 00:39:13, 00:39:23, T2, GRANOLLERS, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 28, 28-J.CASTAÑERA, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 0, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 40,false
BERABERA vs GRANOLLERS, 00:39:23, 00:39:53, T2, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 3, 03-E. ARROJERIA, cb, 17, 17-E.SOMAZA, lb, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 40,false
BERABERA vs GRANOLLERS, 00:39:53, 00:40:05, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, , , , , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 40,false
BERABERA vs GRANOLLERS, 00:40:05, 00:40:15, T2, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 23, 23-A.GONZALEZ, rw, 1, 01-A.DIVA, gk, LEFT_6M, 4, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 41,false
BERABERA vs GRANOLLERS, 00:40:15, 00:40:22, T2, BERABERA, GOAL, COUNTER_GOAL, EQUALITY, 6:0, , 13, 13-L.HERNANDEZ, lb, 16, 16-M. MERA, gk, LEFT_6M, 9, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 28-J.CASTAÑERA, 17-E.SOMAZA, 41,false
BERABERA vs GRANOLLERS, 00:40:22, 00:40:44, T2, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 42, 42-C.POLONIO, lp, , , 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 42,false
BERABERA vs GRANOLLERS, 00:40:44, 00:41:02, T2, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 4, 03-E. ARROJERIA, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 42,false
BERABERA vs GRANOLLERS, 00:41:02, 00:41:34, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 23, 23-P.ARCOS, lb, , , , , , 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-P.ARCOS, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 42,false
BERABERA vs GRANOLLERS, 00:41:34, 00:41:42, T2, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 14, 14-O. VEGUE, rb, 1, 01-A.DIVA, gk, CENTER_6M, 1, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 22-J. LOIDI, 23-P.ARCOS, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 43,false
BERABERA vs GRANOLLERS, 00:41:42, 00:42:08, T2, BERABERA, GOAL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 16, 16-M. MERA, gk, RIGHT_6M, 1, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 23-P.ARCOS, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 43,false
BERABERA vs GRANOLLERS, 00:42:08, 00:42:19, T2, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 3, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 18-E.KARSTEN, 23-P.ARCOS, 14-M.CAVO, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 44,false
BERABERA vs GRANOLLERS, 00:42:19, 00:42:50, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, , , , , , 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 23-P.ARCOS, 14-M.CAVO, 04-M. FERNANDES, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 44,false
BERABERA vs GRANOLLERS, 00:42:50, 00:43:25, T2, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 2, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 45,false
BERABERA vs GRANOLLERS, 00:43:25, 00:43:37, T2, BERABERA, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 9, 09-L.KOFLER, lp, , , 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 45,false
BERABERA vs GRANOLLERS, 00:43:37, 00:43:54, T2, BERABERA, SAVE, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, 16, 16-M. MERA, gk, , 4, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 09-L.KOFLER, 45,false
BERABERA vs GRANOLLERS, 00:43:54, 00:44:06, T2, GRANOLLERS, SAVE, FAST_BREAK, EQUALITY, 5:1, , 34, 34-K.JALLOW, rb, 1, 01-A.DIVA, gk, CENTER_6M, 2, 01-A.DIVA, 13-L.HERNANDEZ, 42-C.POLONIO, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 22-J. LOIDI, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 34-K.JALLOW, 46,false
BERABERA vs GRANOLLERS, 00:44:06, 00:44:32, T2, BERABERA, LOST_BALL, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 6, 06-M.LOUIS, lw, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 34-K.JALLOW, 46,false
BERABERA vs GRANOLLERS, 00:44:32, 00:44:42, T2, GRANOLLERS, LOST_BALL, FAST_BREAK, EQUALITY, 5:1, , 23, 23-A.GONZALEZ, rw, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 23-P.ARCOS, 04-M. FERNANDES, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 34-K.JALLOW, 47,false
BERABERA vs GRANOLLERS, 00:44:42, 00:44:42, T2, BERABERA, 2_MIN, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 4, 04-M. FERNANDES, lb, , , , , , 01-A.DIVA, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 17-E.SOMAZA, 34-K.JALLOW, 46,false
BERABERA vs GRANOLLERS, 00:44:42, 00:44:50, T2, GRANOLLERS, SAVE, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 5:1, , 9, 09-L.KOFLER, lp, 1, 01-A.DIVA, gk, RIGHT_6M, 3, 01-A.DIVA, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 23-A.GONZALEZ, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 34-K.JALLOW, 09-L.KOFLER, 47,false
BERABERA vs GRANOLLERS, 00:44:50, 00:45:31, T2, BERABERA, 7M_PROVOKE, OFFENSE_POSITIONAL, EQUALITY-5+1vs6, 6:0, , 23, 23-P.ARCOS, lb, 9, 09-L.KOFLER, lp, , , 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 18-E.KARSTEN, 31-S.GAVILAN, 14-M.CAVO, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 34-K.JALLOW, 09-L.KOFLER, 02-I. BEN CHAYHAB, 47,false
BERABERA vs GRANOLLERS, 00:45:31, 00:45:38, T2, BERABERA, GOAL, OFFENSE_POSITIONAL, INFERIORITY-5vs6, 6:0, , 23, 23-P.ARCOS, lb, 16, 16-M. MERA, gk, 7_METERS, 3, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 18-E.KARSTEN, 31-S.GAVILAN, 01-A.DIVA, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 34-K.JALLOW, 09-L.KOFLER, 02-I. BEN CHAYHAB, 47,false
BERABERA vs GRANOLLERS, 00:45:38, 00:46:05, T2, GRANOLLERS, GOAL, OFFENSE_POSITIONAL, SUPERIORITY-6vs5, 5:1, , 22, 22-P.MILAGROS, lb, 1, 01-A.DIVA, gk, RIGHT_6M, 9, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 18-E.KARSTEN, 31-S.GAVILAN, 01-A.DIVA, 14-O. VEGUE, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 34-K.JALLOW, 09-L.KOFLER, 02-I. BEN CHAYHAB, 48,false
BERABERA vs GRANOLLERS, 00:46:05, 00:46:49, T2, BERABERA, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 16, 16-M. MERA, gk, RIGHT_6M, 0, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 18-E.KARSTEN, 31-S.GAVILAN, 01-A.DIVA, 14-M.CAVO, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 09-L.KOFLER, 02-I. BEN CHAYHAB, 14-O. VEGUE, 06-O.VILA, 48,false
BERABERA vs GRANOLLERS, 00:46:49, 00:46:54, T2, GRANOLLERS, GOAL, FAST_BREAK, EQUALITY, 5:1, , 2, 02-I. BEN CHAYHAB, rw, 1, 01-A.DIVA, gk, RIGHT_6M, 9, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 18-E.KARSTEN, 31-S.GAVILAN, 01-A.DIVA, 14-M.CAVO, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 09-L.KOFLER, 02-I. BEN CHAYHAB, 14-O. VEGUE, 06-O.VILA, 49,false
BERABERA vs GRANOLLERS, 00:46:54, 00:47:14, T2, BERABERA, POST_OUT, OFFENSE_POSITIONAL, EQUALITY, 6:0, , 14, 14-M.CAVO, rb, 16, 16-M. MERA, gk, RIGHT_6M, 0, 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 01-A.DIVA, 18-E.KARSTEN, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 09-L.KOFLER, 02-I. BEN CHAYHAB, 14-O. VEGUE, 06-O.VILA, 49,false
BERABERA vs GRANOLLERS, 00:47:14, 00:47:26, T2, GRANOLLERS, FOUL_RECEIVE, OFFENSE_POSITIONAL, EQUALITY, 5:1, , 9, 09-L.KOFLER, lp, 31, 31-S.GAVILAN, lp, , , 15-M. ECHEVERRIA, 23-P.ARCOS, 06-M.LOUIS, 14-M.CAVO, 31-S.GAVILAN, 01-A.DIVA, 18-E.KARSTEN, 16-M. MERA, 98-M. CAPDEVILA, 22-P.MILAGROS, 09-L.KOFLER, 02-I. BEN CHAYHAB, 14-O. VEGUE, 06-O.VILA, 50,false
