,seconds,date,hr
124168,"1130,302",[2023-04-23 18:29:04 551],84.0
124224,"1130,802",[2023-04-23 18:29:05 051],86.0
124282,"1131,302",[2023-04-23 18:29:05 551],87.0
124336,"1131,802",[2023-04-23 18:29:06 051],89.0
124391,"1132,302",[2023-04-23 18:29:06 551],89.0
124447,"1132,802",[2023-04-23 18:29:07 051],89.0
124503,"1133,302",[2023-04-23 18:29:07 551],89.0
124561,"1133,802",[2023-04-23 18:29:08 051],88.0
124618,"1134,302",[2023-04-23 18:29:08 551],88.0
124674,"1134,802",[2023-04-23 18:29:09 051],88.0
124728,"1135,302",[2023-04-23 18:29:09 551],88.0
124783,"1135,802",[2023-04-23 18:29:10 051],88.0
124839,"1136,302",[2023-04-23 18:29:10 551],88.0
124896,"1136,802",[2023-04-23 18:29:11 051],88.0
124952,"1137,302",[2023-04-23 18:29:11 551],88.0
125010,"1137,802",[2023-04-23 18:29:12 051],88.0
125066,"1138,302",[2023-04-23 18:29:12 551],88.0
125122,"1138,802",[2023-04-23 18:29:13 051],88.0
125175,"1139,302",[2023-04-23 18:29:13 551],88.0
125233,"1139,802",[2023-04-23 18:29:14 051],88.0
125289,"1140,302",[2023-04-23 18:29:14 551],88.0
125346,"1140,802",[2023-04-23 18:29:15 051],88.0
125403,"1141,302",[2023-04-23 18:29:15 551],88.0
125460,"1141,802",[2023-04-23 18:29:16 051],88.0
125516,"1142,302",[2023-04-23 18:29:16 551],88.0
125570,"1142,802",[2023-04-23 18:29:17 051],88.0
125625,"1143,302",[2023-04-23 18:29:17 551],88.0
125683,"1143,802",[2023-04-23 18:29:18 051],88.0
125739,"1144,302",[2023-04-23 18:29:18 551],88.0
125796,"1144,802",[2023-04-23 18:29:19 051],88.0
125853,"1145,302",[2023-04-23 18:29:19 551],88.0
125910,"1145,802",[2023-04-23 18:29:20 051],88.0
125965,"1146,302",[2023-04-23 18:29:20 551],88.0
126021,"1146,802",[2023-04-23 18:29:21 051],88.0
126077,"1147,302",[2023-04-23 18:29:21 551],87.0
126134,"1147,802",[2023-04-23 18:29:22 051],87.0
126191,"1148,302",[2023-04-23 18:29:22 551],88.0
126248,"1148,802",[2023-04-23 18:29:23 051],87.0
126305,"1149,302",[2023-04-23 18:29:23 551],87.0
126361,"1149,802",[2023-04-23 18:29:24 051],86.0
126414,"1150,302",[2023-04-23 18:29:24 551],86.0
126471,"1150,802",[2023-04-23 18:29:25 051],85.0
126527,"1151,302",[2023-04-23 18:29:25 551],85.0
126584,"1151,802",[2023-04-23 18:29:26 051],83.0
126642,"1152,302",[2023-04-23 18:29:26 551],83.0
126699,"1152,802",[2023-04-23 18:29:27 051],82.0
126756,"1153,302",[2023-04-23 18:29:27 551],82.0
126814,"1153,802",[2023-04-23 18:29:28 051],82.0
126871,"1154,302",[2023-04-23 18:29:28 551],81.0
126925,"1154,802",[2023-04-23 18:29:29 051],81.0
126981,"1155,302",[2023-04-23 18:29:29 551],81.0
127039,"1155,802",[2023-04-23 18:29:30 051],81.0
127095,"1156,302",[2023-04-23 18:29:30 551],82.0
127154,"1156,802",[2023-04-23 18:29:31 051],82.0
127210,"1157,302",[2023-04-23 18:29:31 551],82.0
