seconds,date,speed,hr,core_temperature,x,y,z,raw_rr,filtered_rr,difference_rr,hr_rmssd,activity_load_2d,activity_load_3d
218.016,2023-04-23 18:14:15.783,,,,,,,,766.0,-428.0,,,
218.295,2023-04-23 18:14:16.062,,,,,,,1194.0,,,,,
218.782,2023-04-23 18:14:16.549,,,,,,,,697.0,174.0,,,
219.479,2023-04-23 18:14:17.246,,,,,,,,710.0,318.0,,,
219.489,2023-04-23 18:14:17.256,,,,,,,523.0,,,,,
220.012,2023-04-23 18:14:17.779,,,,,,,392.0,,,,,
220.189,2023-04-23 18:14:17.956,,,,,,,,634.0,265.0,,,
220.404,2023-04-23 18:14:18.171,,,,,,,369.0,,,,,
220.773,2023-04-23 18:14:18.540,,,,,,,922.0,,,,,
220.823,2023-04-23 18:14:18.590,,,,,,,,922.0,0.0,,,
221.695,2023-04-23 18:14:19.462,,,,,,,561.0,,,,,
221.745,2023-04-23 18:14:19.512,,,,,,,,626.0,65.0,,,
222.256,2023-04-23 18:14:20.023,,,,,,,498.0,,,,,
222.371,2023-04-23 18:14:20.138,,,,,,,,628.0,130.0,,,
222.754,2023-04-23 18:14:20.521,,,,,,,568.0,,,,,
222.999,2023-04-23 18:14:20.766,,,,,,,,736.0,168.0,,,
223.322,2023-04-23 18:14:21.089,,,,,,,397.0,,,,,
223.719,2023-04-23 18:14:21.486,,,,,,,763.0,,,,,
223.735,2023-04-23 18:14:21.502,,,,,,,,699.0,302.0,,,
224.434,2023-04-23 18:14:22.201,,,,,,,,763.0,0.0,,,
224.482,2023-04-23 18:14:22.249,,,,,,,423.0,,,,,
224.905,2023-04-23 18:14:22.672,,,,,,,565.0,,,,,
225.197,2023-04-23 18:14:22.964,,,,,,,,648.0,225.0,,,
225.47,2023-04-23 18:14:23.237,,,,,,,508.0,,,,,
225.845,2023-04-23 18:14:23.612,,,,,,,,743.0,178.0,,,
225.978,2023-04-23 18:14:23.745,,,,,,,386.0,,,,,
226.364,2023-04-23 18:14:24.131,,,,,,,387.0,,,,,
226.588,2023-04-23 18:14:24.355,,,,,,,,729.0,221.0,,,
226.751,2023-04-23 18:14:24.518,,,,,,,855.0,,,,,
227.317,2023-04-23 18:14:25.084,,,,,,,,722.0,336.0,,,
227.606,2023-04-23 18:14:25.373,,,,,,,461.0,,,,,
228.039,2023-04-23 18:14:25.806,,,,,,,,720.0,333.0,,,
228.067,2023-04-23 18:14:25.834,,,,,,,383.0,,,,,
228.45,2023-04-23 18:14:26.217,,,,,,,695.0,,,,,
228.759,2023-04-23 18:14:26.526,,,,,,,,855.0,0.0,,,
229.145,2023-04-23 18:14:26.912,,,,,,,656.0,,,,,
229.614,2023-04-23 18:14:27.381,,,,,,,,713.0,252.0,,,
229.801,2023-04-23 18:14:27.568,,,,,,,430.0,,,,,
230.231,2023-04-23 18:14:27.998,,,,,,,365.0,,,,,
230.327,2023-04-23 18:14:28.094,,,,,,,,748.0,365.0,,,
