seconds,date,activity_load_2d,activity_load_3d
243.284,2023-04-23 18:14:41.051,0.0138,0.0216
244.284,2023-04-23 18:14:42.051,0.0072,0.0113
245.284,2023-04-23 18:14:43.051,0.0073,0.0116
246.446,2023-04-23 18:14:44.213,0.0123,0.0169
247.446,2023-04-23 18:14:45.213,0.0151,0.0177
248.446,2023-04-23 18:14:46.213,0.0176,0.0203
249.446,2023-04-23 18:14:47.213,0.0113,0.0134
250.446,2023-04-23 18:14:48.213,0.0202,0.0233
251.446,2023-04-23 18:14:49.213,0.0183,0.0218
252.446,2023-04-23 18:14:50.213,0.012,0.0145
253.446,2023-04-23 18:14:51.213,0.0066,0.0092
254.446,2023-04-23 18:14:52.213,0.0082,0.0117
255.446,2023-04-23 18:14:53.213,0.0098,0.0128
256.446,2023-04-23 18:14:54.213,0.0109,0.017
257.446,2023-04-23 18:14:55.213,0.0089,0.0126
258.446,2023-04-23 18:14:56.213,0.0114,0.0139
259.446,2023-04-23 18:14:57.213,0.0097,0.0133
260.446,2023-04-23 18:14:58.213,0.0114,0.0158
261.446,2023-04-23 18:14:59.213,0.0111,0.0138
262.446,2023-04-23 18:15:00.213,0.0217,0.0293
263.446,2023-04-23 18:15:01.213,0.0164,0.0249
264.446,2023-04-23 18:15:02.213,0.01,0.0133
265.446,2023-04-23 18:15:03.213,0.0094,0.0149
266.446,2023-04-23 18:15:04.213,0.008,0.0118
267.446,2023-04-23 18:15:05.213,0.0085,0.0103
268.446,2023-04-23 18:15:06.213,0.0082,0.0102
269.446,2023-04-23 18:15:07.213,0.0096,0.0129
270.446,2023-04-23 18:15:08.213,0.0083,0.0108
271.446,2023-04-23 18:15:09.213,0.0117,0.0161
272.446,2023-04-23 18:15:10.213,0.0126,0.0155
273.446,2023-04-23 18:15:11.213,0.0082,0.0112
274.446,2023-04-23 18:15:12.213,0.0066,0.0088
275.446,2023-04-23 18:15:13.213,0.0074,0.0096
276.446,2023-04-23 18:15:14.213,0.0067,0.0084
277.446,2023-04-23 18:15:15.213,0.0076,0.0102
278.446,2023-04-23 18:15:16.213,0.006,0.0084
279.446,2023-04-23 18:15:17.213,0.0078,0.01
280.446,2023-04-23 18:15:18.213,0.0079,0.0096
281.446,2023-04-23 18:15:19.213,0.0134,0.0184
282.446,2023-04-23 18:15:20.213,0.0097,0.012
283.446,2023-04-23 18:15:21.213,0.007,0.0086
284.446,2023-04-23 18:15:22.213,0.0055,0.0074
285.446,2023-04-23 18:15:23.213,0.0061,0.0073
286.446,2023-04-23 18:15:24.213,0.0075,0.0095
287.446,2023-04-23 18:15:25.213,0.0053,0.007
288.446,2023-04-23 18:15:26.213,0.0084,0.0129
289.446,2023-04-23 18:15:27.213,0.0066,0.0098
290.446,2023-04-23 18:15:28.213,0.008,0.0097
291.446,2023-04-23 18:15:29.213,0.0065,0.0088
292.446,2023-04-23 18:15:30.213,0.0063,0.0077
293.446,2023-04-23 18:15:31.213,0.0065,0.0079
294.446,2023-04-23 18:15:32.213,0.0055,0.0067
295.446,2023-04-23 18:15:33.213,0.0084,0.0132
296.446,2023-04-23 18:15:34.213,0.007,0.0099
297.446,2023-04-23 18:15:35.213,0.0076,0.0109
298.446,2023-04-23 18:15:36.213,0.0069,0.01
299.446,2023-04-23 18:15:37.213,0.0069,0.0112
300.446,2023-04-23 18:15:38.213,0.0075,0.0107
301.446,2023-04-23 18:15:39.213,0.019,0.0261
302.446,2023-04-23 18:15:40.213,0.0291,0.0333
303.446,2023-04-23 18:15:41.213,0.0103,0.0123
304.446,2023-04-23 18:15:42.213,0.0089,0.0113
