,0,1,2,3,4
161,0.0076,0.0108,0.0144,0.0109,0.0083
162,0.0144,0.0109,0.0083,0.0095,0.0075
163,0.0083,0.0095,0.0075,0.0087,0.0131
164,0.0075,0.0087,0.0131,0.0089,0.0061
165,0.0131,0.0089,0.0061,0.0066,0.0064
166,0.0061,0.0066,0.0064,0.006,0.0075
167,0.0064,0.006,0.0075,0.0069,0.0062
168,0.0075,0.0069,0.0062,0.0132,0.0063
169,0.0062,0.0132,0.0063,0.007,0.005
170,0.0063,0.007,0.005,0.0071,0.005
171,0.005,0.0071,0.005,0.0078,0.005
172,0.005,0.0078,0.005,0.0033,0.0025
173,0.005,0.0033,0.0025,0.017,0.021
174,0.0025,0.017,0.021,0.0217,0.0175
175,0.021,0.0217,0.0175,0.0049,0.0077
176,0.0175,0.0049,0.0077,0.0068,0.0088
177,0.0077,0.0068,0.0088,0.0069,0.0062
178,0.0088,0.0069,0.0062,0.0052,0.0048
179,0.0062,0.0052,0.0048,0.007,0.0064
180,0.0048,0.007,0.0064,0.0067,0.0063
181,0.0064,0.0067,0.0063,0.011,0.0179
182,0.0063,0.011,0.0179,0.0174,0.0069
183,0.0179,0.0174,0.0069,0.0083,0.0087
184,0.0069,0.0083,0.0087,0.009,0.0107
185,0.0087,0.009,0.0107,0.0266,0.0226
186,0.0107,0.0266,0.0226,0.0296,0.0103
187,0.0226,0.0296,0.0103,0.0104,0.0037
188,0.0103,0.0104,0.0037,0.0023,0.0032
189,0.0037,0.0023,0.0032,0.0031,0.0057
190,0.0032,0.0031,0.0057,0.0039,0.0029
191,0.0057,0.0039,0.0029,0.0031,0.0022
192,0.0029,0.0031,0.0022,0.0022,0.002
193,0.0022,0.0022,0.002,0.0022,0.0017
194,0.002,0.0022,0.0017,0.0022,0.0052
195,0.0017,0.0022,0.0052,0.0078,0.0085
196,0.0052,0.0078,0.0085,0.0078,0.006
197,0.0085,0.0078,0.006,0.0112,0.0133
198,0.006,0.0112,0.0133,0.0147,0.017
199,0.0133,0.0147,0.017,0.0249,0.0282
200,0.017,0.0249,0.0282,0.0159,0.0684
201,0.0282,0.0159,0.0684,0.0819,0.023
202,0.0684,0.0819,0.023,0.0234,0.0142
203,0.023,0.0234,0.0142,0.0073,0.0094
204,0.0142,0.0073,0.0094,0.0125,0.0075
205,0.0094,0.0125,0.0075,0.0081,0.0046
206,0.0075,0.0081,0.0046,0.0126,0.0127
207,0.0046,0.0126,0.0127,0.0122,0.0076
208,0.0127,0.0122,0.0076,0.009,0.0077
209,0.0076,0.009,0.0077,0.0076,0.0077
210,0.0077,0.0076,0.0077,0.0059,0.005
211,0.0077,0.0059,0.005,0.0068,0.0083
212,0.005,0.0068,0.0083,0.0091,0.008
213,0.0083,0.0091,0.008,0.0107,0.0087
214,0.008,0.0107,0.0087,0.0077,0.0103
215,0.0087,0.0077,0.0103,0.0116,0.012
216,0.0103,0.0116,0.012,0.021,0.0195
217,0.012,0.021,0.0195,0.0291,0.0202
218,0.0195,0.0291,0.0202,0.0228,0.015
219,0.0202,0.0228,0.015,0.0182,0.0362
220,0.015,0.0182,0.0362,0.0294,0.0412
221,0.0362,0.0294,0.0412,0.0492,0.0536
222,0.0412,0.0492,0.0536,0.0328,0.0284
223,0.0536,0.0328,0.0284,0.0143,0.0168
224,0.0284,0.0143,0.0168,0.0176,0.0318
225,0.0168,0.0176,0.0318,0.0232,0.0286
226,0.0318,0.0232,0.0286,0.0193,0.0211
227,0.0286,0.0193,0.0211,0.0185,0.0285
228,0.0211,0.0185,0.0285,0.015,0.0231
229,0.0285,0.015,0.0231,0.0188,0.0189
230,0.0231,0.0188,0.0189,0.0147,0.0222
231,0.0189,0.0147,0.0222,0.0322,0.0289
232,0.0222,0.0322,0.0289,0.0271,0.0375
233,0.0289,0.0271,0.0375,0.0427,0.036
234,0.0375,0.0427,0.036,0.0233,0.0143
235,0.036,0.0233,0.0143,0.0143,0.0054
236,0.0143,0.0143,0.0054,0.0078,0.0059
237,0.0054,0.0078,0.0059,0.005,0.0069
238,0.0059,0.005,0.0069,0.0042,0.0027
239,0.0069,0.0042,0.0027,0.0045,0.0031
240,0.0027,0.0045,0.0031,0.0033,0.003
241,0.0031,0.0033,0.003,0.0048,0.008
242,0.003,0.0048,0.008,0.0192,0.0062
243,0.008,0.0192,0.0062,0.0141,0.0098
244,0.0062,0.0141,0.0098,0.0154,0.0092
245,0.0098,0.0154,0.0092,0.0109,0.0049
246,0.0092,0.0109,0.0049,0.0063,0.0106
247,0.0049,0.0063,0.0106,0.0074,0.006
248,0.0106,0.0074,0.006,0.0057,0.0073
249,0.006,0.0057,0.0073,0.015,0.007
250,0.0073,0.015,0.007,0.0065,0.0046
251,0.007,0.0065,0.0046,0.0081,0.0101
252,0.0046,0.0081,0.0101,0.0103,0.0095
253,0.0101,0.0103,0.0095,0.0081,0.0079
254,0.0095,0.0081,0.0079,0.0052,0.0071
255,0.0079,0.0052,0.0071,0.0092,0.0083
256,0.0071,0.0092,0.0083,0.0071,0.0064
257,0.0083,0.0071,0.0064,0.0049,0.0052
258,0.0064,0.0049,0.0052,0.0046,0.0046
259,0.0052,0.0046,0.0046,0.0049,0.0093
260,0.0046,0.0049,0.0093,0.0061,0.0034
261,0.0093,0.0061,0.0034,0.0031,0.0028
262,0.0034,0.0031,0.0028,0.0052,0.0029
263,0.0028,0.0052,0.0029,0.0072,0.0089
264,0.0029,0.0072,0.0089,0.0093,0.0154
265,0.0089,0.0093,0.0154,0.0037,0.008
266,0.0154,0.0037,0.008,0.0158,0.0169
267,0.008,0.0158,0.0169,0.1701,0.0073
268,0.0169,0.1701,0.0073,0.0052,0.0101
269,0.0073,0.0052,0.0101,0.0161,0.0226
270,0.0101,0.0161,0.0226,0.0136,0.0117
271,0.0226,0.0136,0.0117,0.0268,0.0221
272,0.0117,0.0268,0.0221,0.026,0.0191
273,0.0221,0.026,0.0191,0.0275,0.0186
274,0.0191,0.0275,0.0186,0.0205,0.0266
275,0.0186,0.0205,0.0266,0.0194,0.0205
276,0.0266,0.0194,0.0205,0.0176,0.0175
277,0.0205,0.0176,0.0175,0.029,0.0208
278,0.0175,0.029,0.0208,0.0183,0.0153
279,0.0208,0.0183,0.0153,0.0184,0.0096
280,0.0153,0.0184,0.0096,0.0076,0.0077
281,0.0096,0.0076,0.0077,0.0077,0.0066
282,0.0077,0.0077,0.0066,0.0066,0.0071
283,0.0066,0.0066,0.0071,0.0062,0.0072
284,0.0071,0.0062,0.0072,0.0075,0.0058
285,0.0072,0.0075,0.0058,0.0075,0.0073
286,0.0058,0.0075,0.0073,0.0061,0.0064
287,0.0073,0.0061,0.0064,0.0056,0.0058
288,0.0064,0.0056,0.0058,0.0078,0.0077
289,0.0058,0.0078,0.0077,0.007,0.0073
290,0.0077,0.007,0.0073,0.007,0.0164
291,0.0073,0.007,0.0164,0.0078,0.0063
292,0.0164,0.0078,0.0063,0.0067,0.0068
293,0.0063,0.0067,0.0068,0.0059,0.0047
294,0.0068,0.0059,0.0047,0.0052,0.0063
295,0.0047,0.0052,0.0063,0.0051,0.006
296,0.0063,0.0051,0.006,0.0067,0.0065
297,0.006,0.0067,0.0065,0.0064,0.0084
298,0.0065,0.0064,0.0084,0.0068,0.0052
299,0.0084,0.0068,0.0052,0.003,0.0089
300,0.0052,0.003,0.0089,0.0137,0.0078
301,0.0089,0.0137,0.0078,0.0191,0.0085
302,0.0078,0.0191,0.0085,0.0077,0.0079
303,0.0085,0.0077,0.0079,0.0089,0.0063
304,0.0079,0.0089,0.0063,0.0068,0.006
305,0.0063,0.0068,0.006,0.0057,0.0043
306,0.006,0.0057,0.0043,0.0045,0.0061
307,0.0043,0.0045,0.0061,0.005,0.0068
308,0.0061,0.005,0.0068,0.0092,0.0076
309,0.0068,0.0092,0.0076,0.0096,0.0259
310,0.0076,0.0096,0.0259,0.0187,0.0104
311,0.0259,0.0187,0.0104,0.0175,0.0116
312,0.0104,0.0175,0.0116,0.0131,0.0104
313,0.0116,0.0131,0.0104,0.011,0.0114
314,0.0104,0.011,0.0114,0.0099,0.009
315,0.0114,0.0099,0.009,0.0097,0.011
316,0.009,0.0097,0.011,0.0121,0.0095
317,0.011,0.0121,0.0095,0.0165,0.0383
318,0.0095,0.0165,0.0383,0.0722,0.0603
319,0.0383,0.0722,0.0603,0.1109,0.0069
320,0.0603,0.1109,0.0069,0.0462,0.0175
321,0.0069,0.0462,0.0175,0.0592,0.02
322,0.0175,0.0592,0.02,0.0136,0.0104
323,0.02,0.0136,0.0104,0.0142,0.0105
324,0.0104,0.0142,0.0105,0.0101,0.011
325,0.0105,0.0101,0.011,0.009,0.0092
326,0.011,0.009,0.0092,0.0081,0.0068
327,0.0092,0.0081,0.0068,0.0091,0.007
328,0.0068,0.0091,0.007,0.0037,0.0035
329,0.007,0.0037,0.0035,0.0069,0.0123
330,0.0035,0.0069,0.0123,0.0033,0.003
331,0.0123,0.0033,0.003,0.0023,0.0025
332,0.003,0.0023,0.0025,0.0035,0.0029
333,0.0025,0.0035,0.0029,0.0026,0.0026
334,0.0029,0.0026,0.0026,0.0046,0.0035
335,0.0026,0.0046,0.0035,0.0022,0.0022
336,0.0035,0.0022,0.0022,0.0029,0.0022
337,0.0022,0.0029,0.0022,0.0026,0.0025
338,0.0022,0.0026,0.0025,0.0031,0.0098
339,0.0025,0.0031,0.0098,0.0265,0.017
340,0.0098,0.0265,0.017,0.0091,0.0101
341,0.017,0.0091,0.0101,0.0107,0.0181
342,0.0101,0.0107,0.0181,0.0148,0.0195
343,0.0181,0.0148,0.0195,0.0191,0.0142
344,0.0195,0.0191,0.0142,0.0222,0.0171
345,0.0142,0.0222,0.0171,0.0206,0.0162
346,0.0171,0.0206,0.0162,0.0205,0.0072
347,0.0162,0.0205,0.0072,0.0185,0.0139
348,0.0072,0.0185,0.0139,0.0253,0.0152
349,0.0139,0.0253,0.0152,0.0148,0.0142
350,0.0152,0.0148,0.0142,0.0146,0.017
351,0.0142,0.0146,0.017,0.0159,0.0206
352,0.017,0.0159,0.0206,0.0118,0.0147
353,0.0206,0.0118,0.0147,0.0105,0.0159
354,0.0147,0.0105,0.0159,0.0189,0.0119
355,0.0159,0.0189,0.0119,0.0196,0.012
356,0.0119,0.0196,0.012,0.0214,0.0122
357,0.012,0.0214,0.0122,0.013,0.0165
358,0.0122,0.013,0.0165,0.0193,0.0187
359,0.0165,0.0193,0.0187,0.0126,0.023
360,0.0187,0.0126,0.023,0.0162,0.0183
361,0.023,0.0162,0.0183,0.0186,0.0276
362,0.0183,0.0186,0.0276,0.0204,0.0196
363,0.0276,0.0204,0.0196,0.0175,0.0167
364,0.0196,0.0175,0.0167,0.0137,0.0146
365,0.0167,0.0137,0.0146,0.0145,0.0188
366,0.0146,0.0145,0.0188,0.0193,0.0195
367,0.0188,0.0193,0.0195,0.0142,0.0106
368,0.0195,0.0142,0.0106,0.0139,0.0169
369,0.0106,0.0139,0.0169,0.0123,0.0142
370,0.0169,0.0123,0.0142,0.0143,0.0213
371,0.0142,0.0143,0.0213,0.0133,0.0135
