,seconds,date,hr
20808,"188,302",[2023-09-08 19:22:01 439],85.0
20863,"188,802",[2023-09-08 19:22:01 939],84.0
20921,"189,302",[2023-09-08 19:22:02 439],84.0
20976,"189,802",[2023-09-08 19:22:02 939],84.0
21034,"190,302",[2023-09-08 19:22:03 439],84.0
21091,"190,802",[2023-09-08 19:22:03 939],84.0
21149,"191,302",[2023-09-08 19:22:04 439],84.0
21203,"191,802",[2023-09-08 19:22:04 939],84.0
21258,"192,302",[2023-09-08 19:22:05 439],85.0
21315,"192,802",[2023-09-08 19:22:05 939],85.0
21372,"193,302",[2023-09-08 19:22:06 439],86.0
21428,"193,802",[2023-09-08 19:22:06 939],87.0
21486,"194,302",[2023-09-08 19:22:07 439],88.0
21543,"194,802",[2023-09-08 19:22:07 939],88.0
21599,"195,302",[2023-09-08 19:22:08 439],89.0
21653,"195,802",[2023-09-08 19:22:08 939],88.0
21710,"196,302",[2023-09-08 19:22:09 439],88.0
21767,"196,802",[2023-09-08 19:22:09 939],89.0
21823,"197,302",[2023-09-08 19:22:10 439],89.0
21880,"197,802",[2023-09-08 19:22:10 939],88.0
21938,"198,302",[2023-09-08 19:22:11 439],88.0
21994,"198,802",[2023-09-08 19:22:11 939],89.0
22049,"199,302",[2023-09-08 19:22:12 439],89.0
22104,"199,802",[2023-09-08 19:22:12 939],89.0
22161,"200,302",[2023-09-08 19:22:13 439],89.0
22217,"200,802",[2023-09-08 19:22:13 939],89.0
22274,"201,302",[2023-09-08 19:22:14 439],89.0
22331,"201,802",[2023-09-08 19:22:14 939],90.0
22389,"202,302",[2023-09-08 19:22:15 439],90.0
22445,"202,802",[2023-09-08 19:22:15 939],90.0
22497,"203,302",[2023-09-08 19:22:16 439],90.0
22554,"203,802",[2023-09-08 19:22:16 939],90.0
22611,"204,302",[2023-09-08 19:22:17 439],90.0
22667,"204,802",[2023-09-08 19:22:17 939],90.0
22724,"205,302",[2023-09-08 19:22:18 439],90.0
22781,"205,802",[2023-09-08 19:22:18 939],90.0
22839,"206,302",[2023-09-08 19:22:19 439],90.0
22893,"206,802",[2023-09-08 19:22:19 939],90.0
22948,"207,302",[2023-09-08 19:22:20 439],90.0
23005,"207,802",[2023-09-08 19:22:20 939],90.0
23063,"208,302",[2023-09-08 19:22:21 439],90.0
23119,"208,802",[2023-09-08 19:22:21 939],90.0
23176,"209,302",[2023-09-08 19:22:22 439],89.0
23233,"209,802",[2023-09-08 19:22:22 939],89.0
23290,"210,302",[2023-09-08 19:22:23 439],88.0
23342,"210,802",[2023-09-08 19:22:23 939],87.0
23399,"211,302",[2023-09-08 19:22:24 439],86.0
23456,"211,802",[2023-09-08 19:22:24 939],86.0
23514,"212,302",[2023-09-08 19:22:25 439],85.0
23570,"212,802",[2023-09-08 19:22:25 939],86.0
23628,"213,302",[2023-09-08 19:22:26 439],86.0
23685,"213,802",[2023-09-08 19:22:26 939],87.0
23738,"214,302",[2023-09-08 19:22:27 439],87.0
